unique_key,created_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,address_type,city,status,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,latitude,longitude,location,closed_date
51966491,2021-09-23T00:05:11.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10065,342 EAST   62 STREET,EAST   62 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,08 MANHATTAN,1014360036,MANHATTAN,994889,216858,PHONE,Unspecified,MANHATTAN,40.76189516513428,-73.96159530025669,"{'latitude': '40.76189516513428', 'longitude': '-73.96159530025669', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51959754,2021-09-23T00:11:30.000,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,11229,2148 EAST   18 STREET,EAST   18 STREET,ADDRESS,BROOKLYN,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,15 BROOKLYN,3073500088,BROOKLYN,997201,157184,PHONE,Unspecified,BROOKLYN,40.59810056324864,-73.95336411879049,"{'latitude': '40.59810056324864', 'longitude': '-73.95336411879049', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51967768,2021-09-23T00:15:11.000,HPD,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10467,305 EAST MOSHOLU PARKWAY NORTH,EAST MOSHOLU PARKWAY NORTH,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,07 BRONX,2033340053,BRONX,1017268,257232,PHONE,Unspecified,BRONX,40.87265508911442,-73.88061293985614,"{'latitude': '40.87265508911442', 'longitude': '-73.88061293985614', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51964697,2021-09-23T00:26:36.000,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW PANE,RESIDENTIAL BUILDING,11208,806 DREW STREET,DREW STREET,ADDRESS,BROOKLYN,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-28T00:00:00.000,05 BROOKLYN,3044690017,BROOKLYN,1022785,183472,PHONE,Unspecified,BROOKLYN,40.670181134642455,-73.86108744561503,"{'latitude': '40.670181134642455', 'longitude': '-73.86108744561503', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-28T12:50:08.000
51961348,2021-09-23T00:27:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10472,1020 BOYNTON AVENUE,BOYNTON AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,09 BRONX,2037150011,BRONX,1018206,239775,PHONE,Unspecified,BRONX,40.82473726808204,-73.87730971630262,"{'latitude': '40.82473726808204', 'longitude': '-73.87730971630262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51963938,2021-09-23T00:33:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10039,220 WEST  149 STREET,WEST  149 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,10 MANHATTAN,1020340047,MANHATTAN,1001375,239691,PHONE,Unspecified,MANHATTAN,40.824555379608164,-73.93812389996073,"{'latitude': '40.824555379608164', 'longitude': '-73.93812389996073', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958728,2021-09-23T00:42:06.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10031,541 WEST  150 STREET,WEST  150 STREET,ADDRESS,NEW YORK,Closed,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,2021-09-27T00:00:00.000,09 MANHATTAN,1020820011,MANHATTAN,999031,241292,PHONE,Unspecified,MANHATTAN,40.82895390099254,-73.94658971824167,"{'latitude': '40.82895390099254', 'longitude': '-73.94658971824167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",2021-09-27T14:16:25.000
51967437,2021-09-23T00:51:07.000,HPD,Department of Housing Preservation and Development,OUTSIDE BUILDING,GUTTER/LEADER,RESIDENTIAL BUILDING,10031,541 WEST  150 STREET,WEST  150 STREET,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,09 MANHATTAN,1020820011,MANHATTAN,999031,241292,PHONE,Unspecified,MANHATTAN,40.82895390099254,-73.94658971824167,"{'latitude': '40.82895390099254', 'longitude': '-73.94658971824167', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51958740,2021-09-23T01:06:08.000,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10033,1320 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,ADDRESS,NEW YORK,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,12 MANHATTAN,1021330030,MANHATTAN,1001957,247575,PHONE,Unspecified,MANHATTAN,40.84619352781456,-73.93600020395905,"{'latitude': '40.84619352781456', 'longitude': '-73.93600020395905', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
51960899,2021-09-23T01:08:44.000,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,10472,1226 ROSEDALE AVENUE,ROSEDALE AVENUE,ADDRESS,BRONX,Open,The following complaint conditions are still open. HPD may attempt to contact you to verify the correction of the condition or may conduct an inspection.,2021-09-23T00:00:00.000,09 BRONX,2037610017,BRONX,1020531,241830,PHONE,Unspecified,BRONX,40.830368406340405,-73.8688978938157,"{'latitude': '40.830368406340405', 'longitude': '-73.8688978938157', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",
